abstract,city,country,postcode,region,street,date,event,event_url,location,projects,publishDate,summary,tags,title,url_code,url_pdf,url_slides,url_video
,Springfield,United States,,MA,,8/17/22,UMass Chan - Baystate EM Grand Rounds,,Baystate Medical Center,,,,,Pacemaker and ICD Review,,,,
,Virtual Event,United States,,MA,,9/13/22,51st Annual Samuel D. Plotkin Cardiovascular Symposium,https://education.baystatehealth.org/content/51st-annual-samuel-d-plotkin-cardiovascular-symposium#group-tabs-node-course-default1,Virtual Event,,,,,ECPR / ECLS,,,,https://youtu.be/e87g8e6ItBU
,Springfield,United States,,MA,,10/26/22,Western New England Acute Cardiology Conference,https://education.baystatehealth.org/content/9th-annual-western-new-england-acute-cardiology-conference#group-tabs-node-course-default2,Basketball Hall of Fame,,,,,Out of Hospital Cardiac Arrest - ED perspective,,,https://drive.google.com/file/d/1TVaNpZWG603n5sqwNe_FsmYhAyba9Auy/view?usp=sharing,https://youtu.be/55fvxo-sG5k
,Tampa,United States,,FL,,1/26/23,National Association of EMS Physicians,,JW Marriott Tampa Water Street,,,,,Intraosseous Access Site Does Not Change Rates of Return Of Spontaneous Circulation in Pre-hospital Cardiac Arrest,,,https://docs.google.com/presentation/d/1DzGKMUMgmxuRuX6_HDVU0fRijd0WF1Rj?rtpof=true&usp=drive_fs,
,Springfield,United States,,MA,,2/1/23,UMass Chan - Baystate EM Grand Rounds,,Baystate Medical Center,,,,,EKG Case Review - Ischemia,,,,
,Springfield,United States,,MA,,3/1/23,,,Baystate Medical Center,,,,,EKGs - What Every Intern Needs to Know,,,,
,Springfield,United States,,MA,,7/5/23,UMass Chan - Baystate EM Grand Rounds,,Baystate Medical Center,,,,,EKG Case Review,,,,
,Granville,United States,,MA,,8/1/23,,,Granville Fire Department,,,,,EMS Medical Management Conference,,,,
,Springfield,United States,,MA,,8/9/23,UMass Chan - Baystate EM Grand Rounds,,Baystate Medical Center,,,,,Tachycardias,,,,https://youtu.be/Slyj27nKTdg
,Springfield,United States,,MA,,9/1/23,,,National College of Technical Instruction,,,,,EMS Medical Management Conference,,,,
,Springfield,United States,,MA,,9/1/23,ED Nursing Disaster Conference,,Baystate Medical Center,,,,,Baystate Disaster Plan,,,,
,Westfield,United States,,MA,,9/1/23,,,Baystate Health,,,,,EMS Medical Management Conference,,,,
,Springfield,United States,,MA,,10/1/23,UMass Chan - Baystate EM Faculty Development,,Baystate Medical Center,,,,,Front of Neck Airway,,,,
,Springfield,United States,,MA,,10/12/23,Western New England Acute Cardiology Conference,https://education.baystatehealth.org/content/10th-annual-western-new-england-acute-cardiology-conference,Basketball Hall of Fame,,,,,EMS Pre-Activation,,,https://drive.google.com/file/d/1AbNebnuoWrA4CKhfUROtBqVYPmxoqL98/view?usp=share_link,https://youtu.be/5djnUYCqrFM
,West  Springfield,United States,,MA,,11/1/23,,,West Springfield Fire Department,,,,,National Continued Competency Program,,,,
,Springfield,United States,,MA,,12/1/23,,,National College of Technical Instruction,,,,,EMS Medical Management Conference,,,,
,Virtual Event,United States,,MA,,2/1/24,UMass Chan Ð Baystate Critical Care Transport Team Inservice,,Virtual Event,,,,,CT Chest Review,,,,
,Virtual Event,United States,,MA,,3/1/24,New England EMS Fellowship Regional Didactics,,Virtual Event,,,,,LVADs in EMS,,,,
,Springfield,United States,,MA,,10/10/24,Western New England Acute Cardiology Conference,https://education.baystatehealth.org/content/11th-annual-western-new-england-acute-cardiology-conference,Basketball Hall of Fame,,,,,Out of Hospital Cardiac Arrest Management Updates,,,https://drive.google.com/open?id=1-JAHgZOOYXlnKsJaPevo0R_9JbM-4R2F&usp=drive_fs,https://www.youtube.com/watch?v=w_Pv9CGGfDE
,Springfield,United States,,MA,,12/1/24,,,Mercy Medical Center - Trinity Health of New England,,,,,Subtle STEMI Medical Management Conference,,,,
,Springfield,United States,,MA,,1/20/25,,,Mercy Medical Center - Trinity Health of New England,,,,,Airway and Non-Invasive Ventilation Medical Management Conference,,,,https://www.youtube.com/watch?v=cvzh0O3i-RE
,Springfield,United States,,MA,,2/7/25,,,Mercy Medical Center - Trinity Health of New England,,,,,Advanced Airway Medical Management Conference,,,,https://www.youtube.com/watch?v=pyZ_KSgoWfI
,Springfield,United States,,MA,,2/17/25,UMass Chan - Baystate EMS Conference,,Baystate Medical Center,,,,,Research 201 - Research Logistics,,,,
,Springfield,United States,,MA,,3/3/25,,,Mercy Medical Center - Trinity Health of New England,,,,,Cardiac Arrest Medical Management Conference - Airway and Compressions,,,,https://www.youtube.com/watch?v=CC97S1hvf14
,Springfield,United States,,MA,,4/16/25,,,Mercy Medical Center - Trinity Health of New England,,,,,Cardiac Arrest Medical Management Conference - Defibrillation and Post-ROSC,,,,https://www.youtube.com/watch?v=eYJZM5beNq0
,Springfield,United States,,MA,,5/30/25,,,Mercy Medical Center - Trinity Health of New England,,,,,BLS Medical Management Conference,,,,
,Springfield,United States,,MA,,6/11/25,,,Mercy Medical Center - Trinity Health of New England,,,,,Trauma Medical Management Conference - Primary and Secondary Survey,,,,https://www.youtube.com/watch?v=pVDxI1SZ2Wo
